human_readable_id,title,type,description,frequency,degree,text_unit_ids,suggested_schema_type,canonical_name,keep_in_controlled_kg,record_linkage_group,review_notes
390,GRÜNER INDUSTRIEPLAN DER EU,POLICY,"Policy type: programme; Jurisdiction: European Union; Status: ongoing; Source meaning: EU programme of which the Net Zero Industry Act is a part, aiming to promote clean industrial development.",1,1,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
391,EU-TAXONOMIE (EU TAXONOMY),POLICY,"Policy type: regulation; Jurisdiction: European Union; Status: in force; Source meaning: regulation that defines ecological sustainability for investment purposes and aims to guide financial flows toward sustainable investments, providing a reference point for investors, companies, and member states.",1,2,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
392,ÖSTERREICHISCHE GREEN FINANCE AGENDA,POLICY,"Policy type: reform initiative; Jurisdiction: Austria; Status: ongoing; Source meaning: Austrian policy instrument identifying 25 measures to stimulate growth, innovation, and the redirection of financial flows for climate-friendly investments, as part of the Austrian Recovery and Resilience Plan.",1,5,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
393,ÖSTERREICHISCHER AUFBAU- UND RESILIENZPLAN,POLICY,"Policy type: national recovery and resilience plan; Jurisdiction: Austria; Status: ongoing; Source meaning: Austrian national programme under the EU 2021/241 regulation, providing the basis for reforms and funding including the Green Finance Agenda.",1,1,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
394,GREEN FINANCE ALLIANCE,SUPPORT_SCHEME,An alliance focusing on aligning participating Austrian financial sector companies' portfolios with the 1.5-degree target and expanding green activities in their core businesses.,1,3,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
395,AUSTRIAN GREEN INVESTMENT PIONEERS PROGRAMM (KLIMAAKTIV),SUPPORT_SCHEME,Support programme (klimaaktiv) aiming to promote pioneering green investments in Austria.,1,1,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
396,GREEN FINANCE FÖRDERPROGRAMM (KLIMA- UND ENERGIEFONDS),SUPPORT_SCHEME,A funding programme (administered by the Klima- und Energiefonds) to support green finance activities in Austria.,1,2,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
397,BMK-AUSBILDUNGSINITIATIVE „JUST TRANSITION“,SUPPORT_SCHEME,"Training initiative by Austria’s BMK focusing on education and upskilling in photovoltaics, electrotechnology/installation, and roofing to provide necessary competencies for the energy transition.",1,6,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
398,QUALIFIZIERUNGSVERBUND-AUSBILDUNGSOFFENSIVE,SUPPORT_SCHEME,"An offensive (campaign) for vocational training in qualification alliances, targeting energy-transition-relevant apprenticeships in Austria.",1,2,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
399,EU SOLAR PV INDUSTRY ALLIANCE (ESIA),ORGANIZATION,"European alliance, founded in spring 2022, aiming to preserve and strengthen the European photovoltaic production value chain.",1,2,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
400,SOLAR-CHARTA,POLICY,Policy type: initiative; Jurisdiction: European Union; Status: ongoing; Source meaning: Charter signed by Austria in April 2024 with the purpose of strengthening European PV production value chains and energy sovereignty.,1,3,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
401,IPCEI-PV,POLICY,Policy type: initiative; Jurisdiction: European Union; Status: ongoing; Source meaning: Important Project of Common European Interest in photovoltaics; Austria joined in May 2022 to strengthen European production.,1,3,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
402,FÖRDERUNG DER FINANZBILDUNG IM BEREICH NACHHALTIGKEIT,SUPPORT_SCHEME,"A set of activities promoting financial literacy in the field of sustainability in Austria, aiming to enhance awareness of the relationship between the financial sector and the transformation to a sustainable economy.",1,1,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
403,"1,5-GRAD-ZIEL",TARGET,Target: portfolio alignment with the 1.5-degree Celsius climate goal; Target value: 1.5; Unit: degrees Celsius; Deadline: not explicitly stated; Geographic scope: Austria (for Green Finance Alliance participant companies); Status: official (in the context of finance sector participation); Source meaning: participating companies in the Green Finance Alliance should align their portfolios with the 1.5-degree temperature target.,1,1,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
404,FINANZSEKTORUNTERNEHMEN (TEILNEHMENDE AN GREEN FINANCE ALLIANCE),STAKEHOLDER,"Austrian financial sector companies participating in the Green Finance Alliance, aiming to align their core business portfolios with the 1.5-degree target and expand green activities.",1,1,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
405,ELEKTROTECHNIK/ELEKTROINSTALLATION (LEHRBERUF),STAKEHOLDER,"Apprentices and professionals trained in electrotechnology/electrical installation, highlighted as a priority group for upskilling through the BMK ""Just Transition"" initiative to support the energy transition.",1,1,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
406,DACHDECKER:INNEN (LEHRBERUF),STAKEHOLDER,"Apprentices and professionals in the roofing trade, specifically targeted in the BMK ""Just Transition"" skills initiatives relevant to PV system deployment.",1,1,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
407,FÜR DIE ENERGIEWENDE RELEVANTE LEHRBERUFE,STAKEHOLDER,"Vocational professions considered especially relevant to the energy transition, which are to be particularly supported in Austria (e.g. through training and qualification offensives).",1,2,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
408,PROJEKT- UND FINANZIERUNGSEBENE,INFRASTRUCTURE,"The project and financing levels, described as critical infrastructure for bridging project execution and capital investment in Austria for climate and energy transition.",1,1,['7a01190bcf30936758d004f89d7553c62632e91427f92e6420a9e453f2c5d92ab18ae9e62c46bc28aeb398621b28cfd3af89bf2317c887a5eec276b5b7a51052'],,,,,
409,PV-INDUSTRIE,STAKEHOLDER,The photovoltaic industry refers to companies and enterprises engaged in PV production and related value chains in Austria and Europe.,1,2,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
410,PV-PRODUKTION,STAKEHOLDER,"Photovoltaic production actors and sectors, especially in Austria, referenced in connection with innovation, supply chains, and international competitiveness.",1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
411,PV-BRANCHENVERTRETUNG,STAKEHOLDER,"PV-sector advocacy or representative bodies involved in Austrian photovoltaic workforce, training, and policy initiatives.",1,0,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
412,FORSCHUNG,STAKEHOLDER,Research institutions and actors involved in PV-related research and innovation.,1,2,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
413,ARBEITNEHMER:INNENVERTRETUNG,STAKEHOLDER,Worker representation organizations involved in PV workforce and training initiatives in Austria.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
414,MADE IN EUROPE-BONUS,SUPPORT_SCHEME,The “Made in Europe-Bonus” is a national Austrian measure that offers a subsidy premium of up to 20% of the funding level for PV projects using components produced in Europe.,1,7,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
415,IPCEI-PV23,POLICY,"Policy type: initiative/programme; Jurisdiction: European Union, with Austrian participation; Status: ongoing; Source meaning: Important Project of Common European Interest (IPCEI) for photovoltaics, joined by Austria in May 2022, intended to rebuild and strengthen central European PV value chains.",1,4,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
416,NET ZERO INDUSTRY ACT,POLICY,Policy type: regulation/act; Jurisdiction: European Union; Status: proposed/unknown; Source meaning: EU-level regulation enabling specification of a minimum share of European value added in eligible projects.,1,0,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
417,JUST TRANSITION AKTIONSPLAN FÜR AUS- UND WEITERBILDUNG,POLICY,Policy type: action plan; Jurisdiction: Austria; Status: planned/intended; Source meaning: The Just Transition action plan defines measures for PV-relevant education and training with the aim of making the PV sector a more attractive employment environment.,1,2,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
418,"FORSCHUNGS-, ENTWICKLUNGS- UND INNOVATIONSPROGRAMME",SUPPORT_SCHEME,"Research, development, and innovation programmes (Forschungs-, Entwicklungs- und Innovationsprogramme) fund and support the development and improvement of new PV technologies and components in Austria.",1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
419,FTI-SCHWERPUNKT „ENERGIEWENDE“,SUPPORT_SCHEME,"The national research and innovation focus “Energiewende” (energy transition) funds energy research with the aim of developing and demonstrating solutions for achieving 2040 climate neutrality, including PV technologies and components “Made in Austria.”",1,3,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
420,PV-TECHNOLOGIEN,TECHNOLOGY,"Photovoltaic technologies, including new and improved PV solutions and components, targeted by research, innovation, and industrial support measures.",1,6,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
421,PV-KOMPONENTEN,TECHNOLOGY,"PV-KOMPONENTEN refers to photovoltaic (PV) system components, including parts and materials produced in Europe or Austria, which are specifically referenced in support incentives and research and innovation activities, and include items such as modules and inverters targeted for improved life cycle performance (durability, reparability, reuse, and recycling) in the Austrian PV innovation system.",2,2,"['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'
 'dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750']",,,,,
422,PV-LÖSUNGEN,TECHNOLOGY,"PV solutions, generic term for practical applications or system approaches for photovoltaic integration and usage.",1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
423,DIGITALISIERUNG VON ENERGIEINFRASTRUKTUREN,INFRASTRUCTURE,"Digitalisation of energy infrastructures, relevant for enabling integration of PV and flexible energy systems.",1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
424,LIEFERKETTEN FÜR VORPRODUKTE,CONSTRAINT,Supply chains for intermediate products; securing these supply chains is described as necessary for successful Austrian PV industry international positioning.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
425,ABHÄNGIGKEIT VON DRITTSTAATEN IM BEREICH DES AUSBAUS DER ERNEUERBAREN ENERGIEN,CONSTRAINT,"Dependence on third countries in the field of renewable energy expansion, referenced as a risk to be reduced through greater use of European-produced PV components and support measures.",1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
426,QUALIFIZIERTE FACHKRÄFTE,STAKEHOLDER,"Qualified skilled workers needed for the expansion and operation of the photovoltaic sector in Austria, whose securing is an explicit policy and training goal.",1,8,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
427,KLIMANEUTRALITÄT 2040 (ÖSTERREICH),TARGET,Target: climate neutrality; Target value: 0; Unit: net greenhouse gas emissions; Deadline: 2040; Geographic scope: Austria; Status: planned/official; Source meaning: Achieving climate neutrality by 2040 is explicitly named as a goal of PV research under the national FTI focus “Energiewende.”,1,4,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
428,EU-FÖRDERUNGEN FÜR FORSCHUNG UND PV-INDUSTRIEAUFBAU,SUPPORT_SCHEME,"EU-level funding schemes for research and for building up the PV industry, referenced as financial instruments to be increasingly utilized.",1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
429,MARKT-FÖRDERUNGEN,SUPPORT_SCHEME,Market-oriented support schemes (Markt-Förderungen) referenced as needing to be designed to secure high European value added in the PV sector.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
430,HOHE EUROPÄISCHE WERTSCHÖPFUNG,TARGET,Target: high European value added in the PV sector; Target value: high; Unit: value added (qualitative); Deadline: unknown; Geographic scope: Europe; Status: proposed/unknown; Source meaning: The goal is to secure and strengthen high European value creation in the PV industry.,1,3,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
431,ÖKONOMISCHE RESILIENZ UND WIRTSCHAFTSKRAFT EUROPAS,TARGET,Target: economic resilience and economic strength of Europe; Target value: increased; Unit: qualitative (resilience and strength); Deadline: unknown; Geographic scope: Europe; Status: proposed/unknown; Source meaning: Improving economic resilience and strength in Europe is cited as a purpose for supporting European PV production and value chains.,1,2,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
432,EFFIZIENTERE UND NACHHALTIGERE TECHNOLOGIEN,TARGET,Target: more efficient and sustainable technologies; Target value: increased efficiency and sustainability; Unit: qualitative; Deadline: unknown; Geographic scope: Austria (and Europe); Status: proposed/unknown; Source meaning: Innovation is intended to enable the offering of more efficient and sustainable (PV) technologies.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
433,INNOVATIVE PV-LÖSUNGEN,TECHNOLOGY,Innovative PV solutions developed through research and innovation programmes to advance electrification and heat supply and the attainment of climate and energy goals.,1,0,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
434,ÖFFENTLICHE BEDARFSTRÄGER,STAKEHOLDER,Public procurers or public-sector demand actors referenced in the context of implementing research results in practical environments.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
435,PRAXISNAHE LERNUMGEBUNGEN,INFRASTRUCTURE,Practice-oriented learning environments created for the implementation and dissemination of research results in PV innovation and workforce training.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
436,SCHULEN,INFRASTRUCTURE,"Schools considered as physical infrastructure for improving PV-relevant educational outcomes via better equipment, training, and materials.",1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
437,AUSBILDNER:INNEN,STAKEHOLDER,Trainers and educators involved in vocational schools and other PV-relevant training initiatives.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
438,AUSBILDUNGSSTANDORTE,INFRASTRUCTURE,Training locations intended to improve provision of qualified photovoltaic-relevant training.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
439,PV-LEHRE,SUPPORT_SCHEME,PV apprenticeship or vocational training schemes referenced as under evaluation and potentially to be established to build a qualified workforce.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
440,FACHKRÄFTESICHERUNG,TARGET,Target: securing qualified workers in the PV sector; Target value: secured; Unit: workforce qualification (qualitative); Deadline: unknown; Geographic scope: Austria; Status: proposed/unknown; Source meaning: The policy aim is to safeguard the supply of qualified skilled workers for the PV sector.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
441,BRANCHENÜBERGREIFENDES ARBEITEN,TARGET,Target: cross-sector working; Target value: increased; Unit: collaboration (qualitative); Deadline: unknown; Geographic scope: Austria; Status: proposed/unknown; Source meaning: The goal is to promote collaboration across sectors in PV-related work environments.,1,0,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
442,ATTRAKTIVIERUNG DER PV-BRANCHE ALS ARBEITGEBER,TARGET,"Target: making the PV sector more attractive as an employer; Target value: increased attractiveness; Unit: qualitative; Deadline: unknown; Geographic scope: Austria; Status: proposed/unknown; Source meaning: The intended aim is to increase the appeal of the PV sector for employment, especially through better training and innovation.",1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
443,KNOW-HOW- UND INNOVATIONSSTANDORT ÖSTERREICH,TARGET,Target: strengthening Austria as a site of know-how and innovation; Target value: strengthened; Unit: qualitative; Deadline: unknown; Geographic scope: Austria; Status: proposed/unknown; Source meaning: Policy aims to strengthen Austria’s international positioning and capabilities in PV technology innovation.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
444,EXPORTCHANCEN FÜR PV-TECHNOLOGIEN UND KOMPONENTEN,TARGET,Target: improving export opportunities for PV technologies and components; Target value: improved; Unit: opportunity (qualitative); Deadline: unknown; Geographic scope: Austria; Status: proposed/unknown; Source meaning: Strengthening innovation and competencies aims to raise the export potential for Austrian PV innovation.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
445,TECHNOLOGIEFÜHRERSCHAFTEN DER ÖSTERREICHISCHEN PV-INDUSTRIE,TARGET,"Target: global technology leadership for the Austrian PV industry; Target value: achieved; Unit: leadership (qualitative); Deadline: unknown; Geographic scope: Austria/Global; Status: aspirational; Source meaning: A potential outcome of supporting innovation, value added, and regulatory measures is global leadership by Austria’s PV industry.",1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
446,VIELE ATTRAKTIVE DIREKTE UND INDIREKTE ARBEITSPLÄTZE IN DER ÖSTERREICHISCHEN PV-INDUSTRIE,TARGET,Target: many attractive direct and indirect jobs in the Austrian PV industry; Target value: increased employment; Unit: jobs (qualitative); Deadline: unknown; Geographic scope: Austria; Status: proposed/unknown; Source meaning: National support measures and high local value added are associated with job creation in the Austrian PV industry.,1,1,['9ce049a98570c6bf53cf9e547168db075af2795fa519422bd27a2c9aa5b490c4b26aef25883802c4d8eb6e4dcb09c866e7d31677352f7beb6c4f9fcbbcc75e9b'],,,,,
447,ENERGIEWENDE (FTI-SCHWERPUNKT),POLICY,"Policy type: research and innovation programme; Jurisdiction: Austria; Status: ongoing; Source meaning: the FTI-Schwerpunkt Energiewende (""energy transition"" RDI focus area) develops and demonstrates solutions to achieve Austria's target of climate neutrality by 2040 through research and development of climate-friendly energy technologies and components.</|>",1,2,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
448,KLIMANEUTRALITÄT 2040,TARGET,Target: climate neutrality; Target value: not numerically specified; Unit: N/A; Deadline: 2040; Geographic scope: Austria; Status: official; Source meaning: the achievement of climate neutrality in Austria by 2040 is the principal articulated target of the Energiewende RDI focus area.</|>,1,1,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
449,KLIMAFREUNDLICHE ENERGIETECHNOLOGIEN UND -KOMPONENTEN „MADE IN AUSTRIA“,TECHNOLOGY,"Climate-friendly energy technologies and components developed and produced in Austria, intended to support decarbonisation, innovation, and export opportunities as part of the Energiewende programme.</|>",1,2,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
450,NATIONALE UND TRANSNATIONALE FTI-AKTIVITÄTEN,SUPPORT_SCHEME,"Financial and project-based support for Austrian companies to participate in national and transnational research, technology, and innovation (FTI) activities, with the aim to promote their involvement in future solar value chains.</|>",1,3,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
451,"RESSOURCENEFFIZIENZ, HALTBARKEIT, REPARATURMÖGLICHKEIT, NACHNUTZUNG UND WIEDERVERWERTUNG VON PV-KOMPONENTEN",CONSTRAINT,"The need for resource efficiency, durability, repairability, reuse, and recycling of PV components is a core research and development area, and represents supporting and constraining factors for participation in future solar value chains.</|>",1,1,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
452,BILDUNG UND AUSBILDUNG,INFRASTRUCTURE,Education and training are structural channels for disseminating research and development results to all relevant demand groups in the context of Austrian PV system and technology advancement.</|>,1,1,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
453,INTERNATIONALE ENERGIEAGENTUR (IEA),ORGANIZATION,"International Energy Agency, cited as the organizer of international technology programmes in which Austrian experts and companies participate.</|>",1,1,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
454,IEA PHOTOVOLTAIC POWER SYSTEMS PROGRAMME (IEA PVPS),POLICY,Policy type: international technology programme; Jurisdiction: international; Status: ongoing; Source meaning: IEA PVPS is an International Energy Agency (IEA) programme in which Austrian experts and companies participate to promote international cooperation in photovoltaic research and deployment.</|>,1,2,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
455,STRATEGIEPLAN FÜR ENERGIETECHNOLOGIE (SET),POLICY,Policy type: strategic plan; Jurisdiction: European Union; Status: ongoing; Source meaning: The SET Plan is cited as one of the essential activities for Austrian research actors to build expertise and cooperation.</|>,1,0,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
456,EU-RAHMENPROGRAMM,POLICY,"Policy type: European research and innovation framework programme; Jurisdiction: European Union; Status: ongoing; Source meaning: The EU framework programme is described as essential for Austrian research actors to acquire expertise, resources, and networks.</|>",1,0,['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'],,,,,
